class;text
2;Oye, necesito cambiar la hora de la cita que agendé para el 5 de mayo a las 2 de la tarde. Quiero moverla para el 10 de mayo a las 4 de la tarde.
2;¿Se puede hacer un cambiazo de hora? Pedí la cita para el 10 de junio, pero quiero cambiarla para el 19 de ese mismo mes a las 10 de la mañana.
2;Wena, quiero patear la cita que saqué pa' la licencia, ¿se puede?
2;Compadre, cagué, no voy a poder llegar a la hora que tenía programada, ¿la puedo cambiar?
2;Oye, quiero hacer un cambiazo en el día, pero no en la hora de mi cita, ¿cuáles son los días más cercanos?
2;Wena, necesito cambiar la hora de mi cita, pero mantener la fecha.
2;Pucha, buenas noches, por una emergencia familiar no voy a poder ir en la fecha que acordamos, ¿se puede cambiar?
2;Disculpa, amigo, no voy a poder ir a la cita que teníamos, ¿hay chance de cambiarla?
2;Chuta, necesito cambiar la fecha y hora de mi cita para el 24 de enero a las 16 horas.
2;Buena, quiero cambiar el día de mi cita pa' el 6 de marzo, no importa la hora.
2;Hola, compadre, por dramas personales necesito cambiar el día y la hora de mi cita pa' el 9 de noviembre a las 11 y media en punto.
2;Oye, ¿me podís hacer el cambio de la cita de la licencia a cualquier día que no sea un martes?
2;Me da la opción de modificar la fecha en la que voy a sacar mi licencia, ¿es posible?
2;Tengo un problema grande y necesito cambiar la fecha y hora de mi cita, ¿me puedes ayudar?
2;Lamentablemente, no voy a poder asistir a la cita que tenía programada la semana pasada, ¿se puede cambiar para la próxima semana?
2;Mala cuea, por una emergencia familiar no voy a poder ir a sacar mi licencia en la fecha acordada, ¿se puede cambiar?
2;¿Puedo hacer un cambio en la cita que reservé?
2;¿Se puede modificar la cita que agendé previamente?
2;Compadre, quiero reprogramar una cita pa' la licencia que saqué.
2;Me puedes hacer el cambio de la cita que tengo?
2;Quiero hacerle un cambiazo a la cita que tengo, cualquier día de la próxima semana me acomoda.
2;Amigo, necesito cambiar la hora que tengo agendada pa' el próximo mes.
2;¿Me puedes cambiar la fecha y hora de la cita que pedí?
2;Pucha, ¿será posible cambiar solamente la fecha de la hora que solicité?
2;Wena, ¿se puede hacer un cambio de hora pa' la licencia?
2;Me reagendas la cita que teníamos, cualquier hora el sábado me acomoda.
2;Buen día, ¿puede ayudarme a reprogramar la cita que teníamos agendada?
2;Buena tarde, ¿sería tan amable de colaborarme con el cambio de fecha de la cita que pedí?
2;Oye, necesito patear la hora de la cita que cacé para el 7 de julio a las 3 de la tarde. Quiero cambiarla pal 15 de julio a las 5 de la tarde.
2;¿Se puede hacer un cambiazo de hora? Tiré la cita pa'l 12 de agosto, pero quiero cambiarla pal 20 del mismo mes a las 11 de la mañana.
2;Wena, quiero corretear la hora de la cita pa' la licencia, ¿se puede?
2;Compadre, cagué, no me la puedo con el horario que tenía agendado, ¿la puedo cambiar?
2;Oye, quiero hacerle un movido en el día, pero no en la hora de mi cita, ¿cuáles son los días más cerca'os?
2;Wena, necesito mandar un cambio de hora, pero mantener la fecha.
2;Pucha, buenas noches, por una weá familiar no voy a poder ir en la fecha que piluchamos, ¿se puede cambiar?
2;Disculpa, amigo, no voy a poder ir a la cita que teníamo', ¿hay chance de cambiarla?
2;Chuta, necesito cachurear la fecha y hora de mi cita pa'l 5 de septiembre a las 4 de la tarde.
2;Buena, quiero achantar el día de mi cita pa'l 10 de octubre, da lo mismo la hora.
2;Hola, compadre, por ataos personales necesito cambiar el día y la hora de mi cita pa'l 18 de noviembre a las 10 y media en punto.
2;Oye, ¿me podís hacer el cambiazo de la cita de la licencia a cualquier día que no sea un martes?
2;Me da la opción de tiritar la fecha en la que voy a sacar mi licencia, ¿es posible?
2;Tengo un drama grande y necesito cambiar la fecha y hora de mi cita, ¿me puedes dar una manito?
2;Lamentablemente, no voy a poder apañar a la cita que teníamos programá la semana pasada, ¿se puede cambiar pa' la otra semana?
2;Mala cuea, por una emergencia familiar no voy a poder ir a sacar mi licencia en la fecha comprometida, ¿se puede cambiar?
2;¿Puedo hacer un cambiazo en la cita que reservé?
2;¿Se puede chumacar la cita que cacé antes?
2;Compadre, quiero mandarle un cambio de cita pa' la licencia que cacé.
2;Me podís correr la cita que cacé?
2;Quiero hacerle un alicate a la cita que tengo, cualquier día de la próxima semana me acomoda.
2;Amigo, necesito cambiar la hora que tengo agendá pa' finales del próximo mes.
2;¿Me podís correr la fecha y hora de la cita que pedí?
2;Pucha, ¿será posible cambiar solo la fecha del horario que cacé?
2;Wena, ¿se puede hacer una alteración de hora pa' la licencia?
2;Me reagendas la cita que teníamo', cualquier hora el sábado me acomoda.
2;Buena onda, ¿pue' ayudarme a correr la cita
