class;text
2;No puedo llegar a la hora, necesito reagendar
2;Me equivoqué en la hora, ¿puedo cambiarla?
2;Me quedé sin transporte, necesito reprogramar mi hora
2;Mi jefe me pidió que trabaje ese día, necesito cambiar mi hora
2;Me enfermé y no puedo asistir, necesito reagendar la hora
2;Quiero cambiar la hora para mi cita, ¿cómo lo hago?
2;Se me cruzó un imprevisto, necesito reagendar mi hora
2;No puedo asistir el día que tenía agendado, ¿puedo cambiar la hora?
2;Me surgió una urgencia, necesito cambiar mi hora
2;¿Es posible reprogramar mi hora para el examen de conducir?
2;hermano, no puedo ir a la ora k tenia agendada, puedo reagenda?
2;q onda, necesito reprogramar mi ora pa la municipalidad
2;weon, mala mía pero me equivoqé de día, puedo cambiar la ora?
2;hermano, me llamaron a trabajar y necesito cambiar la ora
2;weon, no me di cuenta y agendé para el mismo día k tengo otro compromiso
2;q lata, necesito reprogramar mi hora pa la entrega de la visa
2;No puedo 😩, necesito reagendar mi hora para el examen
2;Tengo un imprevisto 🤷‍♂️, necesito reagendar mi hora para el examen
2;No estoy seguro si puedo ir 🤔, ¿puedo reprogramar mi hora para la entrevista?
2;Me faltó tiempo para practicar 🕑, necesito reagendar mi hora para la licencia
