class;text
0;Si asistiré
0;Confirmo
0;Si voy
0;Asisto
0;Si
0;Confirmo la hora
0;Confirmo
0;Si voy a asistir
0;Quiero asistir
0;Confirmo mi asistencia
0;No faltare
0;Voy a ir
0;Asisto a la cita
0;Confirmo la cita
0;Está bien la hora
0;Iré a esa hora
0;Iré a la hora concreta
0;Me presentaré
0;Si acudiré
0;Voy a llegar a la hora 
0;No llegaré tarde
0;Llegaré a la hora
0;Voy a concurrir a la hora indicada
0;Si me presentaré
0;Me voy a presentar
0;No faltare
0;Estaré en el lugar indicado
0;Estaré a la hora indicada
0;Wenaa si voy
0;Confirmo, muchas gracias
0;Agradezco, si voy a asistir
0;Confirmo mi sistencia
0;Confirmo que voy a estar en el lugar
0;Si voy a ir a esa hora y fecha
0;Si me acomoda la fecha
0;Ya lo había recordado
0;Llegaré a la hora
0;Si voy a estar allí
