class;text
1;No voy a ir
1;Me arrepentí
1;Ya no quiero
1;Cancelarlo
1;Ya no me acomoda
1;Ese día estoy ocupado
1;Me surgió un problema
1;Ese día no puedo
1;Cancelar
1;Mejor otro día
1;No iré
1;No puedo salir
1;No puedo
1;Tengo problemas para esa fecha
1;Ya no me acomoda
1;No puedo asistir
1;No voy asistir
1;Se me complicó
1;Tengo complicado ese día
1;Quiero cancelar
1;Voy a cancelar
1;Necesito cancelar
1;Necesito cancelar por motivos de fuerza mayor
1;Me reuso a ir
1;Tengo muchos problemas
1;Ese día trabajo
1;Voy a tener que cancelar porque surgió algo
1;Me surgió una urgencia
1;Surgió un problema
1;Cancela la cita
1;No iré a la cita 
1;Quiero cancelar la cita
1;Voy eliminar la cita
1;Elimina la cita
1;Elimina lo programado
