class;text
1;Necesito cancelar mi hora porfavor.
1;No puedo llegar a la hora.
1;No puedo ir el miercoles proximo.
1;No voy a asistir.
1;Voy a faltar.
1;Puede cancelar la cita?
1;No voy a la wea.
1;Cancelame la cuestion.
1;Voy cuando se enfrie el infierno.
1;Estoy atrasado creo que no llego.
1;Puede que llegue si es que logro viajar en el tiempo.
1;Si es que llegase a llegar seria porque hice un viaje interdimensional.
1;Voy tarde. Cancela la hora.
1;Imposible que asista
1;No llegare
1;Fue con la hora del viernes. Cancelala.
1;Creo que mejor cancelamos la hora.
1;Hola estimado. Todo bien? cancele la hora de encuentro
1;No voy a ir a la renovacion de licencia.
1;Estimado no voy cancele.
1;Cancele inmediatemente esa hora
1;Oiga no voy a la cita
1;Estimade no voy
1;Me encataria que estuviera informado de que no voy
1;Le informo que me ausentare a la hora
1;La cita no tendra lugar. Borrela.
1;Borre la cita
1;Master creo que no llego.
1;No llego nicagando cancele.
1;Desconfirmo.
1;No voy a llegar.
1;Voy a faltar a la cita.
1;0% de posibilidades de que llegue.
1;Cancelar.
1;No llego nica
