class;text
3;Hola puedo hacer una cita a las 3
3;Hay cita a las ocho y media?
3;me da una hora a las 15
3;Tiene hora para sacar la licencia a las doce
3;CUANDO PUEDO SACAR LA LICENCIA
3;se puede sacar la licencia a las 3 este martes?
3;quiero agendar hora para conseguirla licencia de conductor el 26 de diciembre a las diez de la tarde
3;me da un cupo a las 9 de la mañana el 12 de julio
3;le queda hora para la licencia el 31 de mayo
3;Hola buenos dias, me puede dar una cita a las 3 el viernes 23 de junio
3;Bueneas tardes hay fecha disponible para el 2 de febrero
3;hay una cita disponible para el 16 de marzo
3;buenas noches tiene una cita para pasado mañana
3;Aqui se pide hora para la licencia??
3;Hola buenas tardes cuando es la hora mas cercana
3;buenas tiene cupo para junio pero despues de el 15
3;hola tiene cita para la licencia cualquier dia que sea el 4,8 o 15 de diciembre
3;buen dia me da una una hora que sea los jueves o martes despues de las una
3;Hola puedo agendar una fecha
3;tiene hora para la licencia el proximo sabado?
