class;text
3;Hola, quiero pedir una hora para sacar una licencia de conducir
3;Me podría dar una hora para licencia de conducir?
3;Quiero una hora para la licencia de conducir
3;Necesito agendar una hora
3;Es posible que me den una hora?
3;Pueden darme una hora de una vez, llevo pidiendo como 10 dias
3;necesito que me den una hora ya!
3;Necesito una reunion
3;necesito una ora
3;Hola, puedes ayudarme a solicitar una hora
3;Hola, ¿acá puedo pedir la hora para la licencia?
3;Me mandaron acá a pedir la hora, la necesito urgente
3;Cual es la fecha que tienen para la hora?
