class;text
3; Hola! Que tal? Necesito una hora para renovar la licencia
3; Estimado, solicita hora para renovar la licencia
3; Hola, puede indicarme cuales son las horas para agendar una?
3; ola necesito agendarle una hora 
3; como se puede agendar una hora? quiero una
3; cuales son las horas proximas? quiero la mas pronto.
3; Deme la hora mas proxima porfavor estimado gracias
3; Estimada muni de santiago, agendeme una hora para renovar la licencia 
3; Necesito renovar mi licencia antes del martes. Me puede decir cuando puedo ir para hacer eso?
3; Mi licencia se vencio, me da una hora para renovarla.
3; Cuando podria ir para hacer lo de la licencia?
3; Indiqueme cual es la disponibilidad para ir a hacer el tramite de la licencia
3; Agendar hora xfa
3; Agendeme una hora para antes del miercoles si no es mucho problema.
3; Programemos cuando puedo ir para hacer el tramite
3; Quiero reservar para sacar la licencia
3; Digame cuando puedo ir que no haya mucha gente para sacar la licencia
3; Saludos, deme una nueva hora.
3; Como esta? Necesito programar una hora
3; Quiero renovar la licencia, me da una hora?
3; Me da una hora?
3; Quiero una hora para renovar la licencia.
3; Necesito saber cuando debo ir para sacar la licencia.
3; Cual es el horario de atencion para renovar la licencia
3; Cuando puedo ir que no haya gente para ir?
3; A que hora debo presentarme alla para el tramite?
3; Cuando tengo que ir ? Necesito una nueva licencia.
3; Quiero una hora para renovar la licencia para este sabado.
3; Solo puedo ir el sabado proximo a sacar una hora. Cuando puedo?
3; Cuando puedo licencia? 
3; Indique cuando debo ir para no toparme con mucha gente y sacar la licencia
3; Solicita atención para tramite.
3; Oiga demen una hora pordio que necesito manejar
3; Holas necesito una atencion para renovar la licencia
3; Cuando puedo ir a que me atiendan sin cola?
 

