class;text
2;Hola quiero cambiar una hora que hice a de las 2 de la tarde el 5 de mayo a el 10 de mayo a las 4 de la tarde.
2;Se puede cambiar una hora que pedi de el 10 de junio al 19 de ese mismo mes a las 10 de la mañana
2;Buenas tardes puedo re agendar una cita que pedi para la licencia
2;Buen dia, me ocurrio un percance y no podre ir a mi hora programada la puedo cambiar
2;Buenos dias quiero cambiar el dia pero no la hora en la que quiero dar mi cita ¿ Me dice los dias mas cercanos?
2;Hola puedo cambiar la hora de mi cita pero no la fecha
2;Buenas noches, Debido a una emergencia familiar no podre ir a la fecha que programamos ¿puedo cambiarla?
2;Buenos dias quiero disculparme debido a que no podre ir a la cita que agendamos, ¿Habra una posibilidad de cambiar el dia?
2;Perdon por molestarle, pero puedo cambiar la fecha de mi cita a el 24 de enero a las 16 horas
2;Buenas tardes quiero cambiar el dia de mi cita a el 6 de marzo da igual la hora
2;Hola, debido a problemas personales quiero comabiar el dia y la hora de mi cita a el 9 de noviembre a las 11 y media de la mañana
2;Hola , me puede ayudar cambiando la mi cita de la licencia a cuanlquier dia que no sea un martes
2;Me gustaria modificar la fecha en la que voy a sacar mi licencia, ¿Es posible?
2;Por motivos de fuerza mayor me veo obligado a cambiar la fecha y hora de mi cita, ¿Usted puede hacer esto?
2;Lamentablemente no podre asistir a la cita que programe la semana pasada, ¿Es posible cambiarla a la proxima semana?
2;Tristemente por una emergencia familiar no podre ir a sacar mi licencia de conducir el dia acordado, Se puede cambiar?
2;¿Puedo re-agendar una cita que hice?
2;Se puede cambiar la cita que hice anteriormente
2;Hola quiero reprogramar una cita para la licencia que hice
2;Me puede cambiar la cita que hice
2;Quiero cambiar la cita que hice a cualquier momento la proxima semana
2;Caballero puedo cambiar la hora que hice a el proximo mes
2;Me puede cambiar la fecha y hora que pedi de la cita
2;Sera posible cambiar solo la fecha de la hora que pedi
2;buenos dias ,sera posible cambiar la hora de la licencia
2;Me re-agenda la cita que teniamos a cualquier hora el sabado
2;Buenos dias  puede ayudarme de reprogramar la cita que teniamos
2;Buenas tardes, seria tan amable de ayudarme a cambiar la fecha de la cita que pedi
2;Buen dia, quiero cambiar la fecha de mi cita a el 27 de agosto
2;Buenas tardes, ¿Sera posible cambiart la fecha en la que voy a sacar la licencia de conducir?
2;Buenas noches, Me comprometi a otra cosa el dia de mi cita , ¿Se puede cambiar?
2;Hola, Me cambia la fecha de la cita por favor
2;Buenas noches, Me puede cambiar la fecha de la hora, Gracias en avance
2;Disculpe, ¿Sera posible cambiar la hora de la cita?
2;Me puede ayudar reagendando la cita
