class;text
2;No puedo ir a la hora solicitada, necesito reagendar la hora
2;Quiero cambiar mi hora para la licencia, ¿Cuáles son las opciones?
2;Hola, necesito canviar mi hora para la municipalidad
2;C: es posible cambiar mi hora solicitada?
2;necesito cambiar mi hora, dado que el miércoles no puedo asistir
2;necesito reagendar mi hora
2;Quiero aplazar mi hora para el registro
2;Reprograma mi hora del lunes
2;No alcanzo a llegar, es posible cambiar la hora?
2;¿Como cambio la hora para el registro civil?
2;Puedes ayudarme a cambiar la hora para la licencia
2;oe, cambiame la hora
2;porfis, cambiame la hora de mañana
2;al final no puedo ir :( , me puede cambiar la hora de mañana porfis
2;Holaaa, me cambiaría la hora porfis
2;cambiar hora!!!!
2;necesito otra hora
