class;text
2; Hola, no alcanzo a llegar a la hora. Podemos reagendar?
2; Cambiemos la hora?
2; Necesito cambiar la hora ayuda 
2; No puedo llegar a la hora, podemos reagendar?
2; Estimado, no podre asistir a la hora, puedo solicitar otra para la prxima semana?
2; Quiero cambiar la cita de esta semana para la proxima
2; Podemos mover la hora?
2; Tuve una emergencia, movamos la hora para otro dia
2; Puedo ir otro dia?
2; Puedo ir a otra hora?
2; Necesito cambiar la cita
2; Hermano cambieme la cuestion pa otro dia
2; Cambiemos la hora para el jueves proximo
2; Necesito que sea otro dia la renovacion de licencia
2; Puedo ir otro dia que no sea el viernes?
2; Puede cambiarme la hora para que sea mas temprano?
2; Reagendemos la renovacion de licencia
2; Cambiemos la cita para otro dia
2; Veamos este tema otro dia por favor
2; Quiero otra hora porque la anterior no me funciona
2; Quiero cambiar la hora porfavor
2; Cambiemos la hora para otro dia
2; Agendemos la cita para otro dia
2; Reagendemos la hora porque ya no puedo ir a la original
2; Podemos cambiar la hora pal jueves proxima?
2; Quiero cancelar la hora y escoger otra nueva altiro
2; Cambiemos la hora?
2; Hola, como esta? quiero re agendar la cita
2; Necesito ir otro dia que no sea el jueves
2; El lunes ya no puedo. Movamos la cita para el martes si es posible.
2; Sera posible reunirnos en otro horario?
2; No creo que pueda llegar a la hora, podemos reagendar?
2; Me queda imposible ir el martes. Puede cambiar la hora?
2; No podre llegar. Cambiemos la hora.
2; Busquemos otro horario en el que pueda ir a la renovacion. 
